id,sender_phone,is_business,spam_report_count,about_text,is_verified_biz,body,spoofed_sender,label
phish-0254,923000000000.0,1.0,85.0,Bank Helpdesk,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0269,923000000000.0,1.0,46.0,BISP Rewards Officer,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0317,923000000000.0,0.0,169.0,BISP Rewards Officer,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0321,923000000000.0,1.0,172.0,BISP Rewards Officer,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0322,923000000000.0,1.0,131.0,Lucky Draw Verification,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0344,923000000000.0,0.0,116.0,BISP Rewards Officer,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0359,923000000000.0,1.0,155.0,Bank Helpdesk,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0404,923000000000.0,0.0,86.0,Urgent Account Support,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0424,923000000000.0,0.0,106.0,Lucky Draw Verification,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0432,923000000000.0,0.0,67.0,Bank Helpdesk,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0014,923000000000.0,1.0,181.0,Bank Helpdesk,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0029,923000000000.0,0.0,122.0,BISP Rewards Officer,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0032,923000000000.0,0.0,182.0,Bank Helpdesk,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0077,923000000000.0,0.0,189.0,Urgent Account Support,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0087,923000000000.0,0.0,138.0,BISP Rewards Officer,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0111,923000000000.0,1.0,82.0,Urgent Account Support,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0125,923000000000.0,1.0,66.0,BISP Rewards Officer,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0129,923000000000.0,1.0,188.0,Urgent Account Support,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0143,923000000000.0,1.0,123.0,Lucky Draw Verification,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0151,923000000000.0,0.0,80.0,Bank Helpdesk,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0163,923000000000.0,0.0,71.0,Urgent Account Support,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0174,923000000000.0,0.0,130.0,BISP Rewards Officer,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0186,923000000000.0,1.0,122.0,Urgent Account Support,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0202,923000000000.0,1.0,140.0,Urgent Account Support,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0208,923000000000.0,1.0,93.0,Lucky Draw Verification,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0241,923000000000.0,1.0,112.0,Urgent Account Support,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0245,923000000000.0,1.0,55.0,BISP Rewards Officer,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0258,923000000000.0,1.0,184.0,BISP Rewards Officer,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0286,923000000000.0,1.0,106.0,Lucky Draw Verification,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0314,923000000000.0,1.0,116.0,Urgent Account Support,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0323,923000000000.0,0.0,52.0,Bank Helpdesk,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0325,923000000000.0,0.0,67.0,Urgent Account Support,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0340,923000000000.0,0.0,195.0,Bank Helpdesk,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0348,923000000000.0,0.0,193.0,Urgent Account Support,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0353,923000000000.0,0.0,132.0,Urgent Account Support,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0366,923000000000.0,1.0,109.0,Bank Helpdesk,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0400,923000000000.0,1.0,56.0,BISP Rewards Officer,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0410,923000000000.0,1.0,113.0,BISP Rewards Officer,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0411,923000000000.0,0.0,181.0,BISP Rewards Officer,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0420,923000000000.0,0.0,160.0,Lucky Draw Verification,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0428,923000000000.0,0.0,57.0,BISP Rewards Officer,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0430,923000000000.0,1.0,88.0,Urgent Account Support,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0450,923000000000.0,0.0,186.0,BISP Rewards Officer,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0016,923000000000.0,0.0,157.0,Urgent Account Support,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0057,923000000000.0,0.0,162.0,Lucky Draw Verification,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0059,923000000000.0,0.0,195.0,Urgent Account Support,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0069,923000000000.0,0.0,73.0,BISP Rewards Officer,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0099,923000000000.0,0.0,151.0,BISP Rewards Officer,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0137,923000000000.0,0.0,126.0,Lucky Draw Verification,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0152,923000000000.0,1.0,200.0,BISP Rewards Officer,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0252,923000000000.0,0.0,131.0,BISP Rewards Officer,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0257,923000000000.0,0.0,93.0,Bank Helpdesk,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0280,923000000000.0,0.0,95.0,Lucky Draw Verification,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0311,923000000000.0,1.0,194.0,Lucky Draw Verification,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0318,923000000000.0,0.0,158.0,BISP Rewards Officer,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0334,923000000000.0,0.0,104.0,Lucky Draw Verification,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0342,923000000000.0,1.0,151.0,Lucky Draw Verification,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0360,923000000000.0,0.0,117.0,Urgent Account Support,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0371,923000000000.0,0.0,59.0,BISP Rewards Officer,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0408,923000000000.0,1.0,125.0,Bank Helpdesk,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0409,923000000000.0,0.0,80.0,Urgent Account Support,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0427,923000000000.0,0.0,139.0,Bank Helpdesk,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0436,923000000000.0,0.0,140.0,Bank Helpdesk,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0440,923000000000.0,1.0,163.0,Bank Helpdesk,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0446,923000000000.0,1.0,154.0,Bank Helpdesk,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0447,923000000000.0,0.0,48.0,Bank Helpdesk,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0477,923000000000.0,0.0,88.0,Urgent Account Support,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0494,923000000000.0,1.0,153.0,BISP Rewards Officer,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0495,923000000000.0,0.0,110.0,Urgent Account Support,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0504,923000000000.0,1.0,0.0,Busy,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0530,923000000000.0,0.0,3.0,Hey there! I am using WhatsApp.,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0562,923000000000.0,1.0,2.0,At work,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0566,923000000000.0,0.0,3.0,Busy,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0573,923000000000.0,1.0,3.0,Busy,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0591,923000000000.0,1.0,3.0,At work,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0594,923000000000.0,1.0,2.0,Available,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0597,923000000000.0,0.0,0.0,Busy,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0604,923000000000.0,0.0,1.0,Available,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0642,923000000000.0,1.0,1.0,Available,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0647,923000000000.0,1.0,2.0,At work,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0697,923000000000.0,1.0,2.0,Busy,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0737,923000000000.0,1.0,3.0,At work,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0767,923000000000.0,0.0,2.0,Available,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0779,923000000000.0,0.0,1.0,At work,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0787,923000000000.0,1.0,3.0,Busy,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0793,923000000000.0,0.0,3.0,Hey there! I am using WhatsApp.,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0808,923000000000.0,0.0,3.0,Hey there! I am using WhatsApp.,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0810,923000000000.0,1.0,1.0,Available,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0834,923000000000.0,0.0,1.0,Hey there! I am using WhatsApp.,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0837,923000000000.0,0.0,1.0,At work,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0866,923000000000.0,1.0,1.0,Busy,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0875,923000000000.0,1.0,0.0,Available,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0879,923000000000.0,1.0,1.0,At work,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0917,923000000000.0,1.0,1.0,At work,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0919,923000000000.0,1.0,2.0,At work,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0930,923000000000.0,1.0,3.0,At work,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0937,923000000000.0,1.0,3.0,Available,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0946,923000000000.0,1.0,2.0,At work,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0987,923000000000.0,1.0,1.0,At work,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0502,923000000000.0,1.0,1.0,Available,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0509,923000000000.0,1.0,2.0,At work,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0526,923000000000.0,1.0,2.0,Hey there! I am using WhatsApp.,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0538,923000000000.0,1.0,3.0,Hey there! I am using WhatsApp.,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0547,923000000000.0,0.0,0.0,At work,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0621,923000000000.0,0.0,0.0,Hey there! I am using WhatsApp.,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0663,923000000000.0,0.0,1.0,Busy,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0684,923000000000.0,0.0,0.0,Available,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0712,923000000000.0,0.0,2.0,At work,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0721,923000000000.0,0.0,3.0,Hey there! I am using WhatsApp.,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0724,923000000000.0,0.0,3.0,Busy,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0743,923000000000.0,1.0,2.0,Busy,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0775,923000000000.0,0.0,0.0,Available,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0785,923000000000.0,1.0,3.0,Available,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0798,923000000000.0,0.0,1.0,Busy,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0819,923000000000.0,1.0,0.0,Available,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0835,923000000000.0,0.0,2.0,At work,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0890,923000000000.0,1.0,1.0,Busy,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0900,923000000000.0,1.0,2.0,Busy,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0909,923000000000.0,0.0,0.0,Hey there! I am using WhatsApp.,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0915,923000000000.0,0.0,2.0,Available,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0935,923000000000.0,0.0,0.0,At work,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0947,923000000000.0,0.0,3.0,Busy,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0959,923000000000.0,0.0,3.0,Hey there! I am using WhatsApp.,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0999,923000000000.0,1.0,1.0,At work,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-1000,923000000000.0,1.0,2.0,Available,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0535,923000000000.0,0.0,1.0,At work,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0569,923000000000.0,1.0,1.0,At work,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0580,923000000000.0,0.0,0.0,Hey there! I am using WhatsApp.,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0628,923000000000.0,0.0,1.0,Available,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0631,923000000000.0,0.0,1.0,Hey there! I am using WhatsApp.,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0702,923000000000.0,1.0,0.0,Hey there! I am using WhatsApp.,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0708,923000000000.0,1.0,3.0,Busy,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0715,923000000000.0,0.0,0.0,Hey there! I am using WhatsApp.,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0754,923000000000.0,1.0,1.0,Available,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0773,923000000000.0,0.0,3.0,At work,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0790,923000000000.0,1.0,3.0,At work,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0797,923000000000.0,0.0,1.0,Hey there! I am using WhatsApp.,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0801,923000000000.0,0.0,3.0,Hey there! I am using WhatsApp.,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0807,923000000000.0,0.0,0.0,At work,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0813,923000000000.0,1.0,1.0,Available,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0828,923000000000.0,0.0,2.0,Busy,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0849,923000000000.0,1.0,0.0,Available,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0856,923000000000.0,0.0,1.0,Busy,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0858,923000000000.0,0.0,0.0,Busy,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0865,923000000000.0,1.0,3.0,Available,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0868,923000000000.0,0.0,0.0,At work,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0872,923000000000.0,1.0,1.0,Available,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0899,923000000000.0,0.0,0.0,Hey there! I am using WhatsApp.,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0901,923000000000.0,0.0,3.0,Busy,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0904,923000000000.0,0.0,2.0,Hey there! I am using WhatsApp.,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0916,923000000000.0,1.0,1.0,At work,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0926,923000000000.0,0.0,3.0,Available,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0931,923000000000.0,1.0,2.0,Busy,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0932,923000000000.0,1.0,3.0,Busy,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0962,923000000000.0,1.0,3.0,Hey there! I am using WhatsApp.,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0963,923000000000.0,1.0,1.0,Hey there! I am using WhatsApp.,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0990,923000000000.0,0.0,3.0,Hey there! I am using WhatsApp.,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0513,923000000000.0,0.0,3.0,Busy,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0525,923000000000.0,0.0,0.0,At work,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0528,923000000000.0,1.0,3.0,Busy,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0556,923000000000.0,0.0,1.0,At work,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0588,923000000000.0,0.0,0.0,Busy,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0589,923000000000.0,0.0,0.0,At work,0.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0592,923000000000.0,1.0,0.0,Busy,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0619,923000000000.0,0.0,2.0,Available,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0662,923000000000.0,1.0,3.0,Busy,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0690,923000000000.0,0.0,2.0,Busy,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0699,923000000000.0,1.0,2.0,Hey there! I am using WhatsApp.,1.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
phish-0728,923000000000.0,1.0,0.0,At work,1.0,"Hey, check the lab assignment details on the portal.",trusted@domain.edu.pk,safe
phish-0766,923000000000.0,0.0,0.0,Hey there! I am using WhatsApp.,0.0,Are you coming to the university tomorrow?,trusted@domain.edu.pk,safe
